StudyID,PID,neighborhood
StudyID,PID,What is the zip code of your child's primary residence?
"{""ImportId"":""StudyID""}","{""ImportId"":""PID""}","{""ImportId"":""QID25_TEXT""}"
"",,
MLS,3,47201
"",,11807
"",,20147
MLS,9,80202
MLS,8,80202
"",,94541
MLS,1,37641
MLS,2,36741
MLS,11,10469
MLS,10,10469
MLS,5,11102
MLS,4,92603
"",,
"",,47201
"",,36067
MLS,12,
MLS,7,23830
MLS,6,98107
MLS,6,98107
MLS,48,SS6 7SS
MLS,13,77546
MLS,14,44646
MLS,15,44646
MLS,19,84107
MLS,20,
"",,20147
MLS,16,32303
MLS,17,77546
"",,
MLS,18,11367
MLS,22,44121
"",,10314
"",,90026
MLS,21,30087
MLS,23,94541
MLS,51,29550
MLS,25,92603
MLS,24,16801
"",,E6K 1H3
MLS,28,97333
MLS,26,11807
"",,11807
MLS,30,32605
MLS,55,30606
MLS,27,60194
MLS,34,35010
MLS,29,15108
MLS,31,02464
MLS,60,15692
MLS,32,64506
MLS,40,20657
"",,29550
MLS,36,36067
MLS,33,02481
"",,
MLS,35,29205
MLS,41,20910
MLS,37,06405
MLS,43,74827
"",,84097
MLS,38,84097
MLS,39,24401
MLS,44,33594
"",,10314
"",,60560
MLS,45,48150
MLS,42,32606
"",,Ss6
MLS,50,39402
MLS,46,01748
"",,48150
MLS,47,10314
MLS,49,v5l1c8
MLS,79,45431
MLS,52,02138
"",,77573
MLS,80,98004
MLS,62,92618
MLS,56,
MLS,53,94501
MLS,54,60175
MLS,75,19087
"",,02171
MLS,57,59404
MLS,61,60560
MLS,68,07666
MLS,,73439
MLS,58,72714
"",,
MLS,59,60625
"",,06510
MLS,63,27712
MLS,76,35401
MLS,66,98208
"",,
MLS,64,48187
"",,64506
MLS,65,BT54FT
MLS,69,7757:
MLS,67,E6K 1H3
"",,60625
MLS,94,35401
MLS,95,
MLS,71,21047
MLS,73,45385
MLS,70,30047
MLS,74,27705
MLS,72,21211
"",,19087
MLS,77,30082
MLS,85,83440
MLS,78,52402
"",,16652
MLS,86,94582
MLS,102,53713
MLS,91,08853
MLS,88,R0A 0C0
MLS,81,14221
MLS,84,16652
MLS,87,10023
MLS,83,83440
"",,
MLS,82,99202
"",,94582
"",,15692
MLS,90,21043
MLS,89,02478
"",,08853
MLS,92,58078
MLS,93,32808
MLS,"119 ",80134
MLS,118,80134
MLS,108,01230
"",,
MLS,101,02127
MLS,117,73439
MLS,98,18036
"",,49726
MLS,99,02171
MLS,96,94544
MLS,97,13323
MLS,100,01890
MLS,105,02131
MLS,104,89084
"",,89084
MLS,103,22153
MLS,121,75087
MLS,106,12590
"",,10567
MLS,107,10567
MLS,109,10009
MLS,110,11205
"",,95608
MLS,111,95608
MLS,113,98661
MLS,112,84062
MLS,116,22033
MLS,114,27896
MLS,115,06776
MLS,122,53005
MLS,135,53150
"",,27713
MLS,120,75098
MLS,123,06824
"",,
MLS,124,77077
MLS,128,21061
MLS,141,10312
MLS,125,60607
MLS,127,NA
MLS,126,28803
MLS,130,08062
MLS,129,83442
MLS,131,22181
"",,37415
"",,33014
MLS,132,60564
MLS,133,60564
MLS,134,83442
"",,84319
"",,48083
"",,
MLS,136,49326
MLS,137,
"",,
MLS,147,20882
MLS,144,35801
MLS,138,98929
MLS,140,33014
MLS,139,49512
MLS,145,43220
MLS,143,43220
MLS,142,30047
MLS,146,49512
MLS,150,27040
MLS,148,20886
MLS,153,55412
MLS,149,84319
MLS,151,47006
MLS,152,60660
"",,90001
MLS,154,98029
MLS2,example,
MLS2P,1,65613
MLS2P,2,65613
MLS2P,4,06111
MLS2P,11,27502
MLS2P,7,01887
"",,65613
"",,65613
MLS2P,3,48917
"",,29607
MLS2P,10,67208
"",,
MLS2P,16,99504
MLS2P,15,65613
MLS2P,6,93015
"",,60489
MLS2P,21,53589
MLS2P,22,99504
"",,10005
MLS2P,8,88210
"",,85719
MLS2P,5,85719
MLS2P,9,
MLS2P,14,30022
MLS2P,13,75007
MLS2P,12,46637
MLS2,6,16505
MLS2P,17,30067
MLSP,18,02421
MLS2P,19,14227
MLS2P,20,89128
MLS2P,24,37641
MLS2P,25,37641
MLS2,12,95209
"",,99504
MLS2P,26,02148
MLS2P,23,99504
MLS2,7,06419
MLS2P,27,61820
MLS2P,28,22180
MLS2P,29,
MLS2,2,94403
MLS2,1,
MLS2,4,63121
MLS2,3,66226
MLS2,8,77063
MLS2,5,77489
MLS2,9,08062
MLS2,11,99301
"",,10462
"",,
MLS2,10,
MLS2,13,98146
MLS2,14,84321
"",,22003
"",,99504
MLS2,16,60616
MLS2,15,10001
"",,10469
MLS2,17,55449
"",,99504 ALASKA
MLS2,29,10026
"",,29115
MLS2,18,60645
MLS2,32,29115
MLS2,19,53714
"",,10462
MLS2,20,
MLS2,24,
MLS2,21,84003
MLS2,,10462
MLS2,23,53711
MLS2,22,90746
MLS2,25,
"",,
"",,27514
MLS2,,
MLS2,33,60615
"",,46074
"",,94618
MLS2,60,19702
MLS2,26,27560
MLS2,70,97239
MLS2,69,97239
MLS2,29,10004
"",,60453
"",,60453
MLS2,28,60453
MLS2,27,60453
MLS2,31,
"",,7501O
MLS2,67,07110
MLS2,30,17112
"",,94015
MLS2,34,27514
MLS2,37,17540
"",,15931
MLS2,35,15931
MLS2,36,1531
"",,15931
"",,27514
MLS2,"38
",80817
MLS2,39,23325
MLS2,41,84070
MLS2,40,11231
MLS2,43,76005
MLS2,42,94618
MLS2,47,98005
"",,V5L 1C8
MLS2,44,V5L1C8
"",,84043
MLS2,56,84043
MLS2,46,20148
MLS2,45,44120
MLS2,51,
"",,21208
MLS2,50,21208
MLS2,48,37804
MLS2,49,02481
MLS2,52,95603
MLS2,57,53597
"",,77489
MLS2,53,44107
MLS2,55,75098
MLS2,61,21061
MLS2,58,28704
MLS2,54,44107
MLS2,63,94611
"",,10583
MLS2,59,60707
"",,10583
MLS2,62,10583
"",,19702
MLS2,64,12054
MLS2,65,63119
MLS2,68,10012
MLS2,86,07081
"",,37804
MLS2,66,37804
"",,37804
MLS2,73,51501
MLS2,80,03064
MLS2,71,11102
MLS2,75,98118
"",,61820
"",,98005
MLS2,72,10022
"",,11249
MLS2,74,19701
"",,46307
MLS2,76,94015
MLS2,75,98118
MLS2,93,84037
MLS2,77,98275
"",,
MLS2,78,20657
MLS2,"79
",
"",,
"",,
MLS2,81,02176
MLS2,83,29445
MLS2,82,60646
MLS2,92,V5N2K6
MLS2,87,23188
MLS2,84,11249
MLS2,85,46628
MLS2,88,61820
MLS2,89,84321
MLS2,91,28301
MLS2,90,60148
"",,V5N 2K6
MLS2,94,60565
ISS,4,R3P2P7
ISS,18,08879
ISS,2,04401
ISS,32,44121
ISS,31,44121
ISS,11,20147
ISS,10,20147
ISS,1,35401
"",,65613
MLS2,95,65613
MLS2,96,65613
ISS,3,22033
ISS,76,94536
ISS,79,22003
MLS2,110,45840
MLS2,111,45840
ISS,14,"53220 "
ISS,13,"53220 "
ISS,124,55112
"",,07762
ISS,5,77095
"",,03825
MLS2,98,35401
ISS,19,65613
ISS,9,65613
ISS,7,65613
ISS,54,64506
ISS,16,92646
ISS,27,47201
"",,19947
"",,
ISS,8,08081
"",,96778
"",,19947
ISS,6,84108
"",,19947
MLS2,97,73801
ISS,48,18020
"",,48823
ISS,73,27502
ISS,57,27502
ISS,20,35404
"",,29607
ISS,12,08081
MLS2,99,18020
"",,36067
"",,36067
ISS,22,45701
ISS,15,29445
"",,08062
ISS,17,30022
ISS,24,08062
"",,99504
"",,99504
"",,99504
"",,03825
ISS,23,20854
MLS2,101,03825
"",,
"",,
ISS,21,32754
MLS2,100,94541
"",,94542
ISS,25,80921
ISS,30,17329
MLS2,106,17329
MLS2,107,17329
MLS2,102,27503
MLS2,103,27503
ISS,33,98146
ISS,26,16666
ISS,34,84341
"",,11366
"",,99504
ISS,35,
"",,
ISS,37,08827
ISS,99,45431
ISS,36,94403
ISS,38,29445
"",,98107
ISS,28,11366
ISS,42,10469
ISS,41,10469
ISS,40,10469
ISS,67,36067
ISS,44,07302
ISS,43,10549
MLS2,105,27587
"",,20912
ISS,49,45239
ISS,47,65613
ISS,46,65613
ISS,45,65613
ISS,48,18020
ISS,56,75007
"",,43560
"",,98012
ISS,51,49601
ISS,52,49601
"",,
ISS,50,Q9977
ISS,53,45701
MLS2,108,78641
"",,79382
ISS,55,43560
ISS,59,94582
MLS2,111,19977
ISS,98,45238
"",,45238
"",,k1l6x9
ISS,58,30022
ISS,118,60564
ISS,69,48084
"",,94582
"",,80233
"",,
ISS,60,94582
"",,60605
ISS,61,60605
ISS,62,15931
ISS,68,49329
ISS,63,85719
MLS2,113,77435
MLS2,112,77435
ISS,65,02090
ISS,72,12047
ISS,70,08062
ISS,64,11436
ISS,66,02127
"",,92618
ISS,71,49329
"",,98107
ISS,111,92646
"",,36067
"",,
ISS,74,02464
ISS,127,94015
ISS,80,11220
ISS,76,94536
ISS,75,94536
ISS,77,27587
ISS,78,77433
"",,98012
MLS2,114,77044
MLS2,116,20147
MLS2,115,97526
"",,07043
MLS2,117,07043
MLS2,118,92701
ISS,,53561
MLS2,155,02461
ISS,84,16505
ISS,81,35010
"",,17015
ISS,82,
ISS,104,
ISS,83,02481
"MLS2

","119
",27527
ISS,86,29016
ISS,85,29016
ISS,88,53593
"",,64506
ISS,90,65613
ISS,87,65613
MLS2,132,84121
MLS2,125,40511
MLS2,121,43015
"",,84121
"",,98606
ISS,89,94087
MLS2,120,10583
ISS,91,
ISS,92,
MLS2,122,
MLS2,123,
ISS,94,11375
ISS,93,95742
ISS,97,77494
"",,95132
ISS,142,92705
MLS2,142,84043
ISS,96,94555
MLS2,124,79382
ISS,103,45238
ISS,95,75071
MLS2,126,32317
MLS2,135,80922
"",,11375
MLS2,128,10023
ISS,100,19063
MLS2,127,
ISS,101,19063
ISS,102,03825
ISS,107,53593
ISS,108,53714
ISS,106,53562
MLS2,"138
",30097
ISS,109,88210
ISS,110,84121
MLS2,134,21042
"MLS2
","146
",10009
ISS,,02446
MLS2,"136
",94568
ISS,105,
ISS,117,28124
MLS2,129,47408
MLS2,131,10965
"",,93015
MLS2,130,4040
ISS,113,
ISS,114,
ISS,112,
MLS2,133,77379
ISS,115,
"",,
"",,
"",,94043
"MLS2
","147 ",60616
"",,04568
"",,
ISS,116,53217
ISS,119,95608
ISS,120,95608
"",,95608
ISS,121,06516
ISS,132,10465
ISS,123,80233
ISS,122,30087
MLS2,137,03825
MLS2,140,28083
MLS2,139,30045
ISS,125,91784
ISS,128,84321
"",,99504
"",,14534
ISS,126,02090
ISS,129,84045
"MLS2
","156 ",79382
"MLS2
","143
",06437
MLS2,144,
ISS,134,03064
MLS2,145,13323
"",,
ISS,131,63121
ISS,130,98107
ISS,145,80222
"",,80222
ISS,133,80634
MLS2,"175 ",11226
MLS2,"148 ",02032
"",,46307
ISS,147,29170
ISS,"62
",15931
ISS,137,87113
ISS,136,95132
ISS,152,22304
"",,24013
"",,75019
MLS2,"150 ",17015
ISS,138,20147
ISS,135,01364
"",,K1l6x9
ISS,139,K1L6X9
MLS2,152,27519
MLS2,149,27514
MLS2,151,11235
"",,30097
"","
 ",95742
"",,84037
MLS2,153,22033
ISS,140,53711
MLS2,154,73034
ISS,141,65203
"",,73025
ISS,157,30040
"",,92705
ISS,143,10312
"",,
MLS2,157,45701
ISS,146,80222
MLS2,196,93015
ISS,148,92701
ISS,149,07108
ISS,150,55125
ISS,156,47429
MLS2,180,90041
ISS,144,94541
ISS,151,11428
MLS2,159,94010
ISS,155,91911
MLS2,"163 ",77407
MLS2,170,44240
ISS,153,11428
MLS2,158,63043
MLS2,160,65203
MLS2,161,65203
"MLS2
",162,60616
"",,15931
MLS2,"165
",
ISS,154,55116
"MLS2
","164

",
ISS,158,22033
MLS2,169,53711
MLS2,"168 ",07041
"",,19468
"",,53593
MLS2,167,60192
"",,48073
MLS2,193,14086
MLS2,194,14086
MLS2,166,19468
"",,11763
MLS2,171,84121
MLS2,172,01821
MLS2,173,01821
MLS2,174,11428
"",,
"",,
MLS2,176,06416
MLS2,181,98012
"",,
MLS2,183,01907
MLS2,178,54216
MLS2,177,02081
MLS2,179,80920
MLS2,182,94552
MLS2,191,SG1 1QY
MLS2,185,52722
"MLS2 ","186 ",84037
MLS2,187,97365
MLS2,184,26505
"MLS2
","188 
",10465
MLS2,189,48073
MLS2,190,97365
"",,22039
MLS2,191,22039
MLS2,192,55379
"",,14086
"",,14086
"MLS2
","195 ",01230
"",,48310
MLS2,196,2037
MLS2,197,65201
